Time (s) H=5.4,Position (m) H=5.4,Velocity (m/s) H=5.4,Acceleration (m/s²) H=5.4,Ping Echo Time (s) H=5.4
0,0.225,,,0.001307
0.02,0.224,0.01,,0.001302
0.04,0.225,0.01,0.12,0.001309
0.06,0.225,0.01,0.178,0.001308
0.08,0.225,0.01,0.32,0.001309
0.1,0.225,0.03,0.407,0.001311
0.12,0.226,0.04,0.372,0.001316
0.14,0.227,0.04,0.321,0.00132
0.16,0.228,0.05,0.369,0.001325
0.18,0.229,0.06,0.418,0.00133
0.2,0.23,0.06,0.408,0.001338
0.22,0.231,0.07,0.349,0.001346
0.24,0.233,0.08,0.266,0.001354
0.26,0.235,0.08,0.168,0.001364
0.28,0.236,0.08,0.137,0.001375
0.3,0.238,0.09,0.301,0.001383
0.32,0.24,0.09,0.579,0.001394
0.34,0.242,0.11,0.744,0.001405
0.36,0.244,0.13,0.641,0.001417
0.38,0.247,0.14,0.386,0.001436
0.4,0.25,0.14,0.26,0.001451
0.42,0.252,0.14,0.317,0.001467
0.44,0.255,0.15,0.451,0.001485
0.46,0.259,0.16,0.526,0.001503
0.48,0.262,0.18,0.504,0.001523
0.5,0.266,0.19,0.432,0.001544
0.52,0.27,0.19,0.358,0.001567
0.54,0.273,0.2,0.356,0.001589
0.56,0.277,0.21,0.393,0.001613
0.58,0.282,0.22,0.406,0.001637
0.6,0.286,0.22,0.381,0.001663
0.62,0.291,0.23,0.391,0.00169
0.64,0.295,0.24,0.441,0.001716
0.66,0.3,0.25,0.444,0.001745
0.68,0.305,0.26,0.385,0.001774
0.7,0.311,0.26,0.307,0.001806
0.72,0.316,0.27,0.349,0.001834
0.74,0.321,0.27,0.519,0.001868
0.76,0.327,0.29,0.65,0.001899
0.78,0.332,0.31,0.528,0.001932
0.8,0.339,0.32,0.205,0.001971
0.82,0.346,0.31,0.126,0.002009
0.84,0.351,0.31,0.442,0.002042
0.86,0.357,0.33,0.675,0.002078
0.88,0.364,0.35,0.548,0.002118
0.9,0.372,0.35,0.299,0.002163
0.92,0.379,0.35,0.28,0.002202
0.94,0.385,0.36,0.2,0.002237
0.96,0.394,0.37,-0.185,0.00229
0.98,0.4,0.35,-0.335,0.002327
1,0.408,0.34,0.057,0.002371
1.02,0.413,0.36,0.725,0.002403
1.04,0.421,0.38,0.989,0.00245
1.06,0.429,0.4,0.803,0.002496
1.08,0.437,0.41,0.524,0.002542
1.1,0.446,0.42,0.325,0.002592
1.12,0.454,0.42,0.261,0.002641
1.14,0.463,0.43,0.261,0.00269
1.16,0.471,0.43,0.438,0.002739
1.18,0.48,0.44,0.661,0.002792
1.2,0.489,0.46,0.615,0.002841
1.22,0.498,0.48,0.181,0.002896
1.24,0.509,0.47,-0.237,0.002958
1.26,0.517,0.45,0.006,0.003007
1.28,0.526,0.46,0.723,0.003058
1.3,0.536,0.49,1.144,0.003113
1.32,0.545,0.52,0.856,0.003171
1.34,0.557,0.53,0.234,0.003237
1.36,0.567,0.52,-0.059,0.003297
1.38,0.577,0.52,0.063,0.003356
1.4,0.588,0.52,0.312,0.003417
1.42,0.598,0.53,0.432,0.003479
1.44,0.609,0.54,0.389,0.00354
1.46,0.62,0.55,0.289,0.003605
1.48,0.631,0.55,0.234,0.003669
1.5,0.642,0.56,0.263,0.003734
1.52,0.653,0.56,0.37,0.003799
1.54,0.665,0.57,0.485,0.003864
1.56,0.676,0.58,0.52,0.003932
1.58,0.688,0.6,0.442,0.004
1.6,0.7,0.6,0.287,0.004071
1.62,0.712,0.61,0.25,0.004142
1.64,0.724,0.61,0.365,0.004212
1.66,0.737,0.62,0.42,0.004282
1.68,0.749,0.63,0.257,0.004355
1.7,0.762,0.63,0.253,0.004432
1.72,0.774,0.63,0.554,0.004503
1.74,0.787,0.66,0.67,0.004575
1.76,0.8,0.68,0.241,0.004649
1.78,0.816,0.67,-0.311,0.004743
1.8,0.827,0.65,0.017,0.004806
1.82,0.84,0.65,0.907,0.004883
1.84,0.853,0.7,1.415,0.004961
1.86,0.867,0.73,0.841,0.005039
1.88,0.883,0.74,-0.43,0.005136
1.9,0.897,0.71,-1.123,0.005215
1.92,0.912,0.66,-0.758,0.0053
1.94,0.923,0.66,0.494,0.005367
1.96,0.937,0.69,1.566,0.005448
1.98,0.951,0.74,1.568,0.005531
2,0.966,0.78,0.496,0.005616
2.02,0.983,0.76,-0.811,0.005716
2.04,0.998,0.72,-1.127,0.005804
2.06,1.011,0.7,-0.347,0.005877
2.08,1.025,0.71,0.57,0.00596
2.1,1.04,0.74,0.886,0.006045
2.12,1.055,0.75,0.682,0.006131
2.14,1.07,0.76,0.472,0.00622
2.16,1.085,0.77,0.453,0.006309
